form,meaning,type,etymology
亭,pavilion; erect,pictographic,"亠, 口, and 冖 form a picture of a pavilion; 丁 provides the pronunciation"
亮,"bright, brilliant, radiant, light",pictographic,A lit oil lamp
夜,"night, dark; under cover of night",ideographic,A person 亻 sneaking by under cover 亠 of night 夕
亳,name of district in Anhui; capital of Yin,,
亶,"real, sincere, true; truth",pictophonetic,
亹,busy; resolute; to exert; to make progress,,
人,"man, person; people",pictographic,The legs of a human being
亻,"man, person; people",ideographic,Visual abbreviation of 人
亼,"to assemble, to gather together",,
什,"what? mixed, miscellaneous",ideographic,A file of ten 十 people 亻
仁,"benevolent, humane, kind",ideographic,A caring relationship between two 二 people 亻
仂,"excess, remainder, surplus",pictophonetic,
仃,"lonely, solitary",pictophonetic,person
仄,"slanting, oblique; oblique tones",ideographic,A man 人 taking shelter in a lean-to 厂
仆,"to fall forward; prostrate, prone; servant",pictophonetic,person
仇,"enemy; hatred, enmity",pictophonetic,person
仉,mother; surname of the mother of Mencius,,
今,"modern, current; today, now",ideographic,A mouth 亼 talking about things
介,"agent, go-between, intermediary; to introduce; shell, armor",ideographic,A border 八 dividing people 人
仌,frozen; ice-cold,ideographic,"Old variant of 冰 (""ice-water"")"
仍,"yet, still; keeping, continuing; again",pictophonetic,then
从,"from, by, since, whence, through",ideographic,One person 人 following another
仔,"small thing, child; young animal",ideographic,A person 亻 keeping watch over a child 子; 子 also provides the pronunciation
仕,official; to serve in the government,pictophonetic,person
他,"other, another; he, she, it",ideographic,"An additional, ""also"" 也  person 亻"
仗,"1to rely upon; protector; to fight; war, weaponry",pictophonetic,person
付,"give, deliver, pay, hand over; entrust",ideographic,To hand 寸 something over to someone 亻 
仙,"god; fairy; immortal, transcendent",pictophonetic,person
仝,"together, same; surname",pictophonetic,person
仞,ancient unit of measure (about 8 feet); a fathom,pictophonetic,
仟,one thousand; leader of one thousand men,pictophonetic,people
仡,"strong; valiant, brave",,
代,"era, generation; to substitute for, to replace",ideographic,A man 亻 caught 弋 by the passing of time
令,"command, decree, order; magistrate; to allow, to cause",ideographic,A person kneeling before a master 人
仨,three (cannot be followed by a measure word),pictophonetic,three
仫,tribe,pictophonetic,people
仰,"raise the head to look; look up to, rely on, admire",ideographic,To exalt 卬 a person 亻
仲,"middle brother; go between, mediator; surname",ideographic,The middle 中 person 亻; 中 also provides the pronunciation
仳,"separate, part company",pictophonetic,person
仵,similar,pictophonetic,
件,"item, matter; component, part; measure word for events",ideographic,A man 亻 dividing up a cow 牛
任,"to trust, to rely on; to appoint; to bear; duty, office",pictophonetic,person
份,"job, part, role; duty",ideographic,The lot or portion 分 allotted to a man 亻
仿,"to imitate, to copy; fake; as if",pictophonetic,to imitate a person
企,to plan a project; to stand on tiptoe,ideographic,A man 人 on his feet 止; 止 also provides the pronunciation
伄,"seldom, irregularly",pictophonetic,person
伉,"husband, wife; pair; compare, match",pictophonetic,person
伊,"he she; this, that; used in transliterations",pictophonetic,person
伍,"five, company of five; troops",ideographic,Five 五 people 亻; 五 also provides the pronunciation
伎,"talent, skill, craft, ability",ideographic,A man 亻 who can support 支 someone
伏,"to crouch, to crawl, to lie hidden, to conceal",ideographic,A person 亻 acting like a dog 犬
伐,"cut down, subjugate, attack",ideographic,A person 亻 attacked 戈
休,to rest; to stop; to retire,ideographic,A person 亻 leaning against a tree 木
伕,manual laborer,ideographic,A working 夫 man 亻; 夫 also provides the pronunciation
伙,"companion, colleague; utensils",pictophonetic,person
伢,child,pictophonetic,person
伯,"older brother; father's elder brother; sir, sire, count",pictophonetic,person
估,"merchant; to estimate, to guess, to presume",pictophonetic,person
伲,we (Shanghai dialect),pictophonetic,people
伴,"companion, comrade, partner; to accompany",pictophonetic,person
伶,"clever; lonely, solitary",pictophonetic,person
伸,"to extend, to stretch out, to open up; to trust",ideographic,To extend your confidence 申 to another person 亻; 申 also provides the pronunciation
伺,"to serve, to wait upon, to attend; to examine",pictophonetic,person
似,"resembling, similar to; as if, to seem",ideographic,One person 亻 resembles another
伽,temple; used to transliterations,pictophonetic,person
伾,mighty,ideographic,A great 丕 man 亻; 丕 also provides the pronunciation
佃,tenant farmer; to be a tenant farmer,ideographic,A person 亻 on the farm 田; 田 also provides the pronunciation
但,"only; but, however, yet, still",pictophonetic,
伫,to wait; to look towards; to turn one's back on,,
布,"cotton, linen, textiles; to announce, to declare; to spread",ideographic,Cloth 巾 held in a hand
佉,the name of a divine being; surname,pictophonetic,person
位,"seat, throne; rank, status; position, location",ideographic,The place where a person 亻 stands 立
低,"low; to lower, to hang; to bend, to bow",pictophonetic,
住,"to reside, to live at, to dwell, to lodge; to stop",ideographic,A person 亻 who hosts 主; 主 also provides the pronunciation
佐,"to assist, to aid; subordinate, second",pictophonetic,person
佑,to help; to protect; to bless,pictophonetic,person
占,to divine; to observe; to versify,ideographic,To speak 口 omens ⺊
何,"what, why, where, which, how",,
佗,"other, he; surname; a load",ideographic,Another 它 person 亻; see 他 and 她 for modern variants
佘,surname,pictophonetic,person
余,"surplus, remainder; surname",,
佚,to indulge in pleasures; to flee,ideographic,To lose 失 a person 亻
佛,Buddha; Buddhist,pictophonetic,person
作,"to make; to write, to compose; to act, to perform",ideographic,A person 亻 making something for the first time 乍; 乍 also provides the pronunciation
佝,rickets,,
佞,flattery; glib,ideographic,Kindness 仁 toward a woman 女
佟,surname,pictophonetic,person
你,"you, second person pronoun",ideographic,Pronoun 尔 for a person 亻
佣,"to hire, to employ; commission; servant",ideographic,An employed 用 person 亻; 用 also provides the pronunciation
佤,The Va people (an ethnic group in Myanmar and southwest China),pictophonetic,people
佧,an ancient tribe in China,pictophonetic,people
佩,"belt ornament, pendant; wear at waist, tie to the belt; respect",ideographic,Common 凡 cloth 巾 ornaments worn by people 亻
佬,elder; mature,ideographic,An old 老 person 亻; 老 also provides the pronunciation
佯,"to pretend, to feign; false, deceitful",pictophonetic,person
佰,hundred,ideographic,One hundred 百 people 亻; 百 also provides the pronunciation
佳,"good, auspicious; beautiful; delightful",pictophonetic,person
佴,"a second, an assistant",ideographic,A second 耳 person 亻; 耳 also provides the pronunciation
佶,"strong, robust; exact, correct",pictophonetic,person
佻,"frivolous, unsteady; delay",,
佼,"beautiful, handsome, good-looking",pictophonetic,person
佽,"to help, to aid",pictophonetic,person
佾,a row or file of dancers,,
使,"cause, mission, orders; envoy, messenger, ambassador",ideographic,A person 亻 working for the government 吏
侃,upright and strong; amiable,ideographic,As trustworthy 㐰 as spring-water 川
侄,nephew,pictophonetic,person
来,"to arrive, to come, to return; in the future, later on",ideographic,A wheat plant that has not yet borne fruit; compare 來
侈,"luxurious, extravagant",ideographic,A person 亻 with more than they need 多
侉,to speak with an accent; big and clumsy,pictophonetic,person
例,"precedent, example, case; regulation",pictophonetic,person
侌,,pictophonetic,
侍,"to serve, to attend upon; servant, attendant; samurai",pictophonetic,person
侏,"small, tiny; dwarf",pictophonetic,person
侑,"help, assist, repay kindness",pictophonetic,person
侔,equal,pictophonetic,person
仑,"logical reasons, logical order",,
侗,"big; ignorant, rude, rustic",pictophonetic,person
供,"to supply, to provide for; to offer in worship",ideographic,A person 亻 making an offering with both hands 共; 共 also provides the pronunciation
依,"to rely on; to consent, to obey; according to",pictophonetic,person
侮,"insult, ridicule, disgrace",,
侯,"marquis, lord; target in archery",pictographic,A person 亻 who might be a target 矦
侵,"to invade, to encroach upon, to raid",,
侣,companion; associate with,pictophonetic,person
局,"bureau, office; circumstance, game, situation",ideographic,A place where measures 尺 are discussed 口
便,"easy, convenient; expedient",,
俣,big,pictophonetic,person
系,"system; line, link, connection",pictophonetic,thread
促,"to urge, to rush, to hurry; hasty; near, close",ideographic,Someone 亻 on your heels 足; 足 also provides the pronunciation
俄,"sudden, abrupt; used in transliterations",pictophonetic,
俅,ornamental cap,pictophonetic,
俉,scary; to frighten,pictophonetic,person
俎,chopping board or block; painted,pictographic,A slab of meat on a chopping board 且
俏,"to resemble; similar, alike; pretty",ideographic,A similar 肖 person 亻; 肖 also provides the pronunciation
俐,"smooth; active; clever, sharp",pictophonetic,person
俑,wooden figure buried with dead,pictophonetic,person
俗,"social customs; vulgar, unrefined",pictophonetic,person
俘,prisoner of war; take as prisoner,pictophonetic,person
俚,"rustic, vulgar, unpolished; mean",pictophonetic,person
俛,"to make an effort, to endeavor; to bear down",,
俯,"to bow down, to face down, to look down",pictophonetic,person
俜,to trust to; send a message,ideographic,A trusted 甹 person 亻;  甹 also provides the pronunciation
保,"to safeguard, to protect, to defend, to care for",pictophonetic,person
俞,"to consent, to approve; surname",,
俟,"wait for, wait until, as soon as",ideographic,A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation
侠,chivalrous person; knight-errant,pictophonetic,person
信,"to trust, to believe; letter, sign",,
修,to study; to repair; to decorate; to cultivate,pictophonetic,hair
俱,"all, together; accompany",pictophonetic,person
效,"result, effect; effective",pictophonetic,strike
俳,actor; vaudeville show; insincere,pictophonetic,person
俸,"wages, salary, official emolument",ideographic,Wages offered 奉 to a person 亻; 奉 also provides the pronunciation
俺,"I, me, my (some dialects)",pictophonetic,person
备,"to prepare; to get ready, to equip; ready; perfect",ideographic,To go 夂 to the farm 田 to prepare for a harvest
俾,"so that, in order that; to cause",pictophonetic,
伥,the ghost of one devoured by a tiger,pictophonetic,person
俩,"two, a pair, a couple",ideographic,A couple 寿; 寿 also provides the pronunciation
仓,"granary, barn; cabin, berth",ideographic,Simplified form of 倉; grains 食 kept in storage 口
个,"this, that; single; measure word for individuals",ideographic,A tally 丨 of people 人
倌,"assistant, hired hand",pictophonetic,person
倍,to double; to increase or multiply,,
倏,"hastily, suddenly, abruptly",pictophonetic,dog
们,plural marker for pronouns and some nouns,pictophonetic,people
倒,"to collapse, to fall over; to lie down",pictophonetic,person
倔,"stubborn, obstinate, intransigent; firm",ideographic,Someone 亻 who does not bend 屈; 屈 also provides the pronunciation
幸,"favor, fortune, luck; surname",ideographic,"Two men, one alive 土 and one dead 干; the living one is lucky"
倘,"if, supposing, in event of",pictophonetic,person
候,"to wait, to expect; to visit; to greet",pictophonetic,person
倚,"to rely on, to depend on",pictophonetic,person
倜,"lofty, exalted",,
倝,"sunrise, dawn",pictophonetic,sunlight
倞,far,ideographic,Someone 亻 living in the capital 京; 京 also provides the pronunciation
借,"to borrow; to lend; excuse, pretext",pictophonetic,person
倡,"guide, leader; lead, introduce",ideographic,Someone 亻 who lights the way 昌; 昌 also provides the pronunciation
倥,"boorish, ignorant; urgent, pressing",pictophonetic,person
倦,"tired, weary",ideographic,A curled-up 卷 person 亻; 卷 also provides the pronunciation
倨,"arrogant, haughty, rude",pictophonetic,person
倩,"beautiful, lovely; son-in-law",ideographic,A young 青 person 亻; 青 also provides the pronunciation
倪,"feeble, tiny, young and weak",ideographic,A young child 兒
伦,human relationships; society,ideographic,The logical order 仑 of human 亻 society; 仑 also provides the pronunciation
倬,"noticeable, large; distinct, clear",pictophonetic,person
倭,"dwarf; dwarfish, short",pictophonetic,person
倮,"bare, naked, uncovered",pictophonetic,person
睬,"to notice, to pay attention to",pictophonetic,eye
倻,used to transliterate Korean place names,pictophonetic,people
值,"price, value, worth",pictophonetic,person
偃,"to cease, to lay down, to lay off",pictophonetic,person
假,"fake, false, deceitful; vacation",ideographic,A false 叚 person 亻; 叚 also provides the pronunciation
偈,brave; martial; hasty; scudding,,
伟,"great, imposing; extraordinary",pictophonetic,person
偌,"thus, so, like, such",pictophonetic,person
偎,"to cling to, to cuddle, to embrace, to fondle",ideographic,To cling to someone 亻 in fear 畏; 畏 also provides the pronunciation
偏,"slanting, inclined; prejudiced",pictophonetic,person
偕,"together, accompanied by; in order",pictophonetic,person
做,"to work, to make; to act",ideographic,Someone 亻 who causes things to happen 故; 故 also provides the pronuncation
停,"to suspend, to halt, to delay; suitable",pictophonetic,person
健,"strong, robust, healthy; strength",ideographic,Someone 亻 who can build 建 things; 建 also provides the pronunciation
逼,"to bother, to pressure; to compel, to force",pictophonetic,walk
侧,"side; to slant, to lean, to incline",pictophonetic,person
侦,"to spy, to reconnoiter; detective",pictophonetic,person
偶,"accidentally, coincidently; mate, image, idol",pictophonetic,person
偷,"to steal; burglar, thief",pictophonetic,person
咱,"we, us",pictophonetic,mouth
伪,"false, counterfeit, bogus",pictophonetic,
傀,"great, gigantic; puppet",pictophonetic,person
傅,"tutor, teacher; to assist; surname",ideographic,Someone 亻 who lectures 尃; 尃 also provides the pronunciation
傈,the Lisu tribe,pictophonetic,people
傍,"beside, close, nearby; to depend on",ideographic,Someone 亻 by your side 旁; 旁 also provides the pronunciation
杰,"hero; heroic, outstanding",,
傕,used in old names,pictophonetic,person
伧,"vulgar person, country man",ideographic,A person 亻 from the farm 仓; 仓 also provides the pronunciation
伞,"umbrella, parasol, parachute",pictographic,An umbrella
家,"house, home, residence; family",pictophonetic,roof
傣,the Dai minority living in South China,pictophonetic,people
催,"to press, to urge",pictophonetic,person
偬,"busy, hurried; urgent",ideographic,Someone 亻 in a rush 怱; 怱 also provides the pronunciation
傲,"proud, haughty, overbearing",pictophonetic,person
传,to pass on; to propagate; to transmit; summons,pictophonetic,people
伛,humpback; stoop,ideographic,A person 亻 forced into a box 区
债,"debt, loan, liability",ideographic,A person's 亻 duty 责; 责 also provides the pronunciation
伤,"to injure, to harm; wound, injury; to fall ill",,
傺,to hinder; to detain,pictophonetic,person
傻,"foolish, silly, stupid; an imbecile",ideographic,A man 亻 being hit 夂 on the head 囟
倾,"to upset, to pour out, to overflow",pictophonetic,person
傿,the name of an immortal; surname,pictophonetic,person
偻,humpback; surname,pictophonetic,person
仅,"only, merely, solely, just",pictophonetic,person
佥,"all, together, unanimous",ideographic,Many people gathered 亼 under one roof
像,"picture, image, figure; to resemble",pictophonetic,person
侨,emigrant; to sojourn,pictophonetic,person
僖,"joy, gladness, delight; surname",ideographic,Someone 亻 in love 喜; 喜 also provides the pronunciation
僚,"companion, colleague; officials; bureaucracy; a pretty face",pictophonetic,person
侥,"to be lucky; by chance, by luck",pictophonetic,person
僦,to hire; to rent,pictophonetic,person
僧,"Buddhist priest, monk",pictophonetic,person
偾,"to ruin, to destroy; overthrown",pictophonetic,person
僬,"clever, alert; pigmy",pictophonetic,person
僭,"to assume, to usurp",pictophonetic,person
僮,"page, servant boy",ideographic,A servant boy 童; 童 also provides the pronunciation
雇,"employment; to hire, to employ",pictophonetic,bird
僳,The Lisu tribe,pictophonetic,people
僵,"still, stiff, motionless",pictophonetic,person
价,"price, value",pictophonetic,
僻,"out-of-the-way, remote; unorthodox",pictophonetic,people living out of the way
仪,"instrument, apparatus; ceremony, rites",pictophonetic,
侬,I; you; surname,pictophonetic,person
亿,hundred million; many,pictophonetic,people
儅,to stop,pictophonetic,person
儆,to warn; warning,pictophonetic,person
儇,"clever, nimble",pictophonetic,person
侩,"go-between, broker, proxy",ideographic,A person 亻 who organizes a meeting 会
俭,"temperate, frugal, economical",pictophonetic,person
儋,a small jar; to bear a burden; a load of two,pictophonetic,person
傧,to entertain guests,ideographic,Someone 亻 who hosts guests 宾; 宾 also provides the pronunciation
儒,Confucian scholar,pictophonetic,person
俦,"companion, mate, colleague",ideographic,Someone 亻 with you all your life 寿; 寿 also provides the pronunciation
侪,"a class, a company; companion; together",pictophonetic,person
拟,"to draft, to plan; to intend",pictophonetic,hand
尽,"to exhaust, to use up, to deplete",,
偿,"to repay, to recompense; restitution",pictophonetic,person
儡,"puppet, dummy",pictophonetic,person
优,superior; elegant,pictophonetic,person
储,"to save money, to store, to reserve; heir",pictophonetic,person
俪,"spouse; pair, couple",pictophonetic,person
傩,rich,pictophonetic,person
傥,"if, supposing, in case",pictophonetic,person
俨,"grave, respectful; majestic",pictophonetic,person
儿,"son, child",pictographic,"Simplified form of 兒, a picture of a child; compare 人"
兀,weak; lame,ideographic,Cutting 一 off the feet 儿
允,"to grant, to consent; just, fair",,
元,first; dollar; origin; head,pictographic,A man 儿 with two lines emphasizing their head 二
兄,elder brother,ideographic,Older brother 儿 speaking 口 to younger ones
充,"to fill, to supply; to be full",,
兆,"omen; mega-, million",pictographic,Cracks in oracle bones used in fortune-telling
凶,"culprit; murder; bad, sad",ideographic,A container 凵 of wickedness 乂
先,"first, former, previous",ideographic,Someone stepping 止 in front of another person 儿
光,"light; bright, brilliant; only, merely",ideographic,A person 儿 carrying a torch 火
克,"to subdue, to restrain, to overcome; used in transliterations",ideographic,A weapon 十 used to subdue a beast 兄
兑,"cash, check; to exchange",ideographic,A beast 兄 with two horns 丷
免,"to spare, to excuse from; to evade",,
兔,"rabbit, hare",pictographic,A rabbit
兕,a female rhinoceros,,
兖,to establish; a province,,
兜,pouch,ideographic,"A man wearing a helmet, now meaning ""pouch"""
兟,to advance,ideographic,Two people 先 marching; 先 also provides the pronunciation
兢,"fearful, cautious, wary",,
入,"to enter, to come in; to join",ideographic,"An arrow indicating ""enter"""
内,inside,ideographic,A man 人  entering a door 冂
全,"whole, entire, complete; to preserve",ideographic,Jade 玉 put away 入 for safe-keeping
两,"two, both, pair, couple; ounce",ideographic,Two people 从 together in a cart
八,"eight; all around, all sides",ideographic,"Two bent lines meaning ""to divide"""
公,"fair, equitable; public; duke",ideographic,To divide 八 what is private 厶
六,six,,
兮,exclamatory particle,,
共,"all, total; together; to share",ideographic,Two hands 八 holding one object 廾
兵,"soldier; troops, an army; warlike",ideographic,Two hands 八 holding an axe 丘
其,"his, her, its, their; that",,
具,"tool, implement; to draw up, to write",ideographic,Two hands 八 writing on a tablet 目
典,"law, canon; scripture, classic; documentation",ideographic,Two hands 八 holding a book 冊
兼,"both, and; at the same time; to unite, to combine",ideographic,A hand holding two sheafs of grain 禾
冀,to hope for; to wish; Hebei province,pictophonetic,north
冂,wide,,
冉,tender; weak; to proceed gradually,,
円,circle; yen,,
册,"book, volume, register, list",pictographic,Bamboo strips 冂 tied together to form a book
冋,desert; border,ideographic,A plot of land 口 surrounded by a border 冂; 冂 also provides the pronunciation
再,"again, twice, re-",pictographic,Two fish 冉 caught on a line 一
冏,"bright, brilliant; clear; hot",ideographic,Archaic form of 炯
冒,"to risk, to brave, to dare",pictophonetic,
冑,helmet,ideographic,A man ⺼ wearing a helmet 由
冓,"secret, niche, hiding-hole, cabinet",,
冕,crown; ceremonial cap,pictophonetic,crown
冖,cover,pictographic,A cover-cloth
冗,excessive; superfluous,ideographic,A cover-cloth 冖 on a table 几
冘,to move on; doubtful,pictophonetic,towel
冠,"cap, crown, headgear",ideographic,A man 元 puts on a cap 冖 with his hand 寸
冡,,,
冢,"burial mound, mausoleum; grand",pictophonetic,shroud
冣,"to assemble, to collect, to meet",pictophonetic,cover
冤,"grievance, injustice, wrong",,
幂,"cover-cloth; exponent, power",ideographic,A cover 冖 cloth 巾; 冖 also provides the pronunciation
冫,ice,,
冬,"winter, 11th lunar month",ideographic,A man walking 夂 on ice ⺀
冰,ice; ice-cold,ideographic,Ice-cold冫 water 水
冱,"freezing; stopped up, closed off",pictophonetic,
